"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Tree Species Name","Tree Species DBH","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant","area","Basal Area","Frequency","Density","Relative Basal Area","Relative Frequency","Relative Density","Relative Importance","Week"
"3/07/2014","00:00:00 AM",NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",1,21.92,0.7925,NA,4,NA,NA,"",NA,0,0,0,0,0,0,1,0,0,0,196,NA,NA,NA,NA,NA,NA,NA,"Week 1"
"3/07/2014","00:00:00 AM",NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",2,21.92,NA,NA,1.5,NA,NA,"",NA,0,0,0,0,0,0,1,0,0,0,196,NA,NA,NA,NA,NA,NA,NA,"Week 1"
"3/07/2014","00:00:00 AM",NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",3,21.92,NA,0.3,3,NA,NA,"",NA,0,0,0,0,0,0,1,0,0,0,196,NA,NA,NA,NA,NA,NA,NA,"Week 1"
"3/07/2014","00:00:00 AM",NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",4,21.92,NA,0.55,2,NA,NA,"",NA,0,0,0,0,0,0,1,0,0,0,196,NA,NA,NA,NA,NA,NA,NA,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.6353503184713,7,0.0357142857142857,0.84,0.47,0.47,0.59,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Monotoca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05095541401274,4,0.0204081632653061,0.08,0.27,0.27,0.21,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26433121019108,2,0.0102040816326531,0.04,0.13,0.13,0.1,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Banksia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62261146496815,2,0.0102040816326531,0.04,0.13,0.13,0.1,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Angophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Araucaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Callitris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Casuarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Lophostemon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Melaleuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Syncarpia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1"
